	reads.in	reads.out
OF3-40-T2-L_S536_L002_R1_001.fastq.gz	628084	547679
OF3-17-T3-C_S568_L002_R1_001.fastq.gz	631339	549760
AP20-18-T3-C_S559_L002_R1_001.fastq.gz	668146	554095
OF3-16-T3-C_S567_L002_R1_001.fastq.gz	726187	562341
OF3-42-T3-L_S573_L002_R1_001.fastq.gz	694454	566619
AP16-24-T4-C_S590_L002_R1_001.fastq.gz	725362	568219
OF61-43-T3-L_S584_L002_R1_001.fastq.gz	690805	572827
AP16-21-T4-C_S587_L002_R1_001.fastq.gz	661836	573890
AP16-48-T4-L_S594_L002_R1_001.fastq.gz	668027	580537
OF3-22-T4-C_S608_L002_R1_001.fastq.gz	731414	580842
AP20-21-T4-C_S597_L002_R1_001.fastq.gz	742816	586812
OF3-39-T2-L_S535_L002_R1_001.fastq.gz	722502	590853
OF61-38-T2-L_S544_L002_R1_001.fastq.gz	678925	591922
OF3-25-T4-C_S611_L002_R1_001.fastq.gz	704690	593644
OF61-16-T3-C_S577_L002_R1_001.fastq.gz	693028	594178
AP16-49-T4-L_S595_L002_R1_001.fastq.gz	694136	595753
OF3-37-T2-L_S533_L002_R1_001.fastq.gz	712013	599319
OF61-17-T3-C_S578_L002_R1_001.fastq.gz	682169	599408
OF61-24-T4-C_S440_L002_R1_001.fastq.gz	727997	602636
AP16-41-T3-L_S552_L002_R1_001.fastq.gz	719504	610770
OF3-21-T4-C_S607_L002_R1_001.fastq.gz	790297	616549
AP16-47-T4-L_S593_L002_R1_001.fastq.gz	711898	617840
AP20-50-T4-L_S606_L002_R1_001.fastq.gz	713362	618849
OF3-18-T3-C_S569_L002_R1_001.fastq.gz	710913	620991
OF61-13-T2-C_S539_L002_R1_001.fastq.gz	714794	626631
OF61-12-T2-C_S538_L002_R1_001.fastq.gz	759754	627676
OF61-21-T4-C_S617_L002_R1_001.fastq.gz	774825	634720
AP20-20-T3-C_S561_L002_R1_001.fastq.gz	741271	634751
OF61-46-T4-L_S442_L002_R1_001.fastq.gz	740688	636300
AP16-44-T3-L_S555_L002_R1_001.fastq.gz	750231	643573
AP20-23-T4-C_S599_L002_R1_001.fastq.gz	742648	646339
OF3-23-T4-C_S609_L002_R1_001.fastq.gz	764290	646467
OF3-41-T3-L_S572_L002_R1_001.fastq.gz	728641	647359
AP20-16-T3-C_S557_L002_R1_001.fastq.gz	776615	656559
OF3-48-T4-L_S614_L002_R1_001.fastq.gz	745901	659465
AP20-47-T4-L_S603_L002_R1_001.fastq.gz	761946	668101
OF61-36-T2-L_S542_L002_R1_001.fastq.gz	795815	675236
OF3-15-T2-C_S531_L002_R1_001.fastq.gz	796049	681102
OF61-42-T3-L_S583_L002_R1_001.fastq.gz	834043	685585
OF61-44-T3-L_S585_L002_R1_001.fastq.gz	820017	701240
OF3-19-T3-C_S570_L002_R1_001.fastq.gz	825855	705159
AP20-48-T4-L_S604_L002_R1_001.fastq.gz	826424	705836
AP20-19-T3-C_S560_L002_R1_001.fastq.gz	816355	706840
OF61-48-T4-L_S444_L002_R1_001.fastq.gz	794340	708282
AP20-24-T4-C_S600_L002_R1_001.fastq.gz	811287	713098
AP20-39-T2-L_S525_L002_R1_001.fastq.gz	830586	720032
OF61-19-T3-C_S580_L002_R1_001.fastq.gz	960010	725864
OF3-24-T4-C_S610_L002_R1_001.fastq.gz	852131	726481
OF61-18-T3-C_S579_L002_R1_001.fastq.gz	853008	731917
OF61-25-T4-C_S441_L002_R1_001.fastq.gz	872403	742910
AP20-37-T2-L_S523_L002_R1_001.fastq.gz	860309	746872
OF61-45-T3-L_S586_L002_R1_001.fastq.gz	938296	762572
OF61-50-T4-L_S446_L002_R1_001.fastq.gz	858098	767643
OF61-20-T3-C_S581_L002_R1_001.fastq.gz	906631	780696
AP16-22-T4-C_S588_L002_R1_001.fastq.gz	918079	786633
OF61-49-T4-L_S445_L002_R1_001.fastq.gz	914956	801612
AP16-16-T3-C_S547_L002_R1_001.fastq.gz	936733	832951
OF3-43-T3-L_S574_L002_R1_001.fastq.gz	1192038	1055273
