init	chloros_removed	mitos_removed	pruned			
OF61-33-T1-L	95085	87424	87322	86943		
OF61-34-T1-L	69464	66555	66555	66114		
OF61-35-T1-L	108717	101555	101555	101308		
OF61-36-T2-L	198698	187885	187862	187411		
OF61-37-T2-L	167461	148296	148193	147787		
OF61-38-T2-L	210930	206610	206605	205159		
OF61-39-T2-L	145835	115131	115101	114265		
OF61-4-T0-C	112544	104343	104295	103785		
OF61-40-T2-L	119430	110097	109979	109001		
OF61-41-T3-L	153201	119186	119186	119005		
OF61-42-T3-L	367569	362779	362779	362651		
OF61-43-T3-L	225230	215941	215938	215591		
OF61-44-T3-L	239970	216369	216369	215662		
OF61-45-T3-L	282637	243284	243284	242928		
OF61-46-T4-L	171916	145858	145743	144982		
OF61-47-T4-L	137776	89470	89297	87240		
OF61-48-T4-L	203569	201444	201444	200960		
OF61-49-T4-L	346414	340639	340639	340421		
OF61-5-T0-C	120057	86276	85805	84235		
OF61-50-T4-L	224771	132886	132859	129785		
OF61-6-T1-C	124235	110380	110380	109994		
OF61-7-T1-C	59187	45260	45260	45127		
OF61-8-T1-C	40015	34582	34582	34372		
OF61-9-T1-C	120712	118584	118584	118405		
AP16-100-T0-K	318961	54743	54606	54239		
AP16-101-T1-K	278088	139699	139683	139238		
AP16-102-T1-K	448453	124520	124518	124399		
AP16-103-T1-K	250218	125378	125207	124532		
AP16-104-T1-K	228985	37406	37378	37279		
AP16-105-T1-K	256402	101623	101623	101446		
AP16-106-T2-K	257058	77781	77693	77377		
AP16-107-T2-K	296058	75664	75653	75485		
AP16-108-T2-K	223478	79514	79511	79078		
AP16-109-T2-K	303820	110135	109985	109388		
AP16-110-T2-K	210925	125164	125164	124948		
AP16-111-T3-K	255929	138924	138078	137577		
AP16-112-T3-K	103823	21771	21330	21091		
AP16-113-T3-K	278048	171648	171009	170452		
AP16-114-T3-K	229687	116841	116570	116198		
AP16-115-T3-K	218875	46812	45678	45455		
AP16-116-T4-K	251006	94183	94076	93612		
AP16-117-T4-K	217578	185849	185843	185452		
AP16-118-T4-K	189639	180340	180251	179269		
AP16-119-T4-K	179371	55634	55624	55519		
AP16-120-T4-K	283982	106951	106883	106671		
AP16-71-T0-C	259876	57625	57625	57482		
AP16-72-T0-C	369570	71822	71807	71702		
AP16-73-T0-C	363759	63531	63489	63373		
AP16-74-T0-C	362594	81255	81255	80870		
AP16-75-T0-C	215486	58218	58218	58048		
AP16-76-T1-C	307176	205894	205752	205318		
AP16-77-T1-C	358202	122310	122263	122120		
AP16-78-T1-C	166660	51980	51980	51850		
AP16-79-T1-C	305297	115852	115852	115548		
AP16-80-T1-C	260895	26920	26920	26795		
AP16-81-T2-C	292630	187446	187388	187077		
AP16-82-T2-C	293208	138267	138088	137306		
AP16-83-T2-C	304424	99666	99481	98920		
AP16-84-T2-C	224768	142706	142663	142226		
AP16-85-T2-C	309749	257272	257145	256381		
AP16-86-T3-C	216496	55407	54273	54007		
AP16-87-T3-C	359869	130854	130112	129719		
AP16-88-T3-C	245220	78146	77848	77594		
AP16-89-T3-C	271790	92953	92205	92020		
AP16-90-T3-C	178782	102270	101172	100100		
AP16-91-T4-C	364049	66783	66783	66679		
AP16-92-T4-C	226326	196198	196054	194958		
AP16-93-T4-C	272281	106538	106538	106347		
AP16-94-T4-C	308580	288057	288024	287349		
AP16-95-T4-C	232078	188014	188014	187795		
AP16-96-T0-K	360834	93908	93816	93687		
AP16-97-T0-K	312364	49558	49395	49043		
AP16-98-T0-K	219157	156558	156558	156189		
AP16-99-T0-K	307277	61983	61706	61494		
AP5-100-T0-K	241394	83188	82303	82039		
AP5-101-T1-K	250526	81280	80829	79424		
AP5-102-T1-K	269611	51335	51120	50682		
AP5-103-T1-K	294226	62227	62157	61722		
AP5-104-T1-K	162002	84259	84126	81279		
AP5-105-T1-K	250676	35358	35358	35099		
AP5-106-T2-K	245014	104233	103958	103127		
AP5-107-T2-K	162387	128211	128004	127338		
AP5-108-T2-K	295037	144525	144525	144355		
AP5-109-T2-K	261335	80768	80723	80516		
AP5-110-T2-K	235655	105933	105537	104581		
AP5-111-T3-K	169753	92295	91747	90925		
AP5-112-T3-K	286205	95717	94403	93982		
AP5-113-T3-K	280704	136200	135624	135272		
AP5-114-T3-K	246070	104401	103435	102919		
AP5-115-T3-K	185659	32354	31839	31389		
AP5-116-T4-K	243094	127619	127531	127065		
AP5-117-T4-K	184365	154606	153915	153442		
AP5-118-T4-K	248754	100658	100658	100556		
AP5-119-T4-K	138909	124463	123801	123411		
AP5-120-T4-K	200426	169249	169245	169019		
AP5-71-T0-C	225188	87385	86605	86111		
AP5-72-T0-C	223143	77114	74461	73085		
AP5-73-T0-C	314514	72588	72563	72376		
AP5-74-T0-C	241279	68303	68083	67495		
AP5-75-T0-C	277489	73243	73213	72673		
AP5-76-T1-C	333838	86308	86218	85890		
AP5-77-T1-C	297368	49097	49097	48934		
AP5-78-T1-C	327171	58936	58903	58720		
AP5-79-T1-C	308535	70309	70241	69805		
